"long","lat","state"
-94.408726,35.798214,"Alabama"
-91.685852,34.512972,"Alabama"
-91.685852,31.882459,"Alabama"
-94.408726,30.53798,"Alabama"
-97.131599,31.882459,"Alabama"
-97.131599,34.512972,"Alabama"
-94.408726,35.798214,"Alabama"
-132.528955,55.313204,"Alaska"
-129.806081,54.408434,"Alaska"
-129.806081,52.537442,"Alaska"
-132.528955,51.57081,"Alaska"
-135.251828,52.537442,"Alaska"
-135.251828,54.408434,"Alaska"
-132.528955,55.313204,"Alaska"
-116.191714,35.798214,"Arizona"
-113.46884,34.512972,"Arizona"
-113.46884,31.882459,"Arizona"
-116.191714,30.53798,"Arizona"
-118.914587,31.882459,"Arizona"
-118.914587,34.512972,"Arizona"
-116.191714,35.798214,"Arizona"
-102.577346,39.530104,"Arkansas"
-99.854473,38.307039,"Arkansas"
-99.854473,35.798214,"Arkansas"
-102.577346,34.512972,"Arkansas"
-105.30022,35.798214,"Arkansas"
-105.30022,38.307039,"Arkansas"
-102.577346,39.530104,"Arkansas"
-124.360334,39.530104,"California"
-121.637461,38.307039,"California"
-121.637461,35.798214,"California"
-124.360334,34.512972,"California"
-127.083208,35.798214,"California"
-127.083208,38.307039,"California"
-124.360334,39.530104,"California"
-116.191714,43.071698,"Colorado"
-113.46884,41.912567,"Colorado"
-113.46884,39.530104,"Colorado"
-116.191714,38.307039,"Colorado"
-118.914587,39.530104,"Colorado"
-118.914587,41.912567,"Colorado"
-116.191714,43.071698,"Colorado"
-75.348611,46.419873,"Connecticut"
-72.625738,45.325375,"Connecticut"
-72.625738,43.071698,"Connecticut"
-75.348611,41.912567,"Connecticut"
-78.071485,43.071698,"Connecticut"
-78.071485,45.325375,"Connecticut"
-75.348611,46.419873,"Connecticut"
-78.071485,43.071698,"Delaware"
-75.348611,41.912567,"Delaware"
-75.348611,39.530104,"Delaware"
-78.071485,38.307039,"Delaware"
-80.794358,39.530104,"Delaware"
-80.794358,41.912567,"Delaware"
-78.071485,43.071698,"Delaware"
-80.794358,39.530104,"District of Columbia"
-78.071485,38.307039,"District of Columbia"
-78.071485,35.798214,"District of Columbia"
-80.794358,34.512972,"District of Columbia"
-83.517232,35.798214,"District of Columbia"
-83.517232,38.307039,"District of Columbia"
-80.794358,39.530104,"District of Columbia"
-91.685852,31.882459,"Florida"
-88.962979,30.53798,"Florida"
-88.962979,27.792925,"Florida"
-91.685852,26.393432,"Florida"
-94.408726,27.792925,"Florida"
-94.408726,30.53798,"Florida"
-91.685852,31.882459,"Florida"
-88.962979,35.798214,"Georgia"
-86.240105,34.512972,"Georgia"
-86.240105,31.882459,"Georgia"
-88.962979,30.53798,"Georgia"
-91.685852,31.882459,"Georgia"
-91.685852,34.512972,"Georgia"
-88.962979,35.798214,"Georgia"
-135.251828,31.882459,"Hawaii"
-132.528955,30.53798,"Hawaii"
-132.528955,27.792925,"Hawaii"
-135.251828,26.393432,"Hawaii"
-137.974702,27.792925,"Hawaii"
-137.974702,30.53798,"Hawaii"
-135.251828,31.882459,"Hawaii"
-124.360334,46.419873,"Idaho"
-121.637461,45.325375,"Idaho"
-121.637461,43.071698,"Idaho"
-124.360334,41.912567,"Idaho"
-127.083208,43.071698,"Idaho"
-127.083208,45.325375,"Idaho"
-124.360334,46.419873,"Idaho"
-102.577346,46.419873,"Illinois"
-99.854473,45.325375,"Illinois"
-99.854473,43.071698,"Illinois"
-102.577346,41.912567,"Illinois"
-105.30022,43.071698,"Illinois"
-105.30022,45.325375,"Illinois"
-102.577346,46.419873,"Illinois"
-97.131599,46.419873,"Indiana"
-94.408726,45.325375,"Indiana"
-94.408726,43.071698,"Indiana"
-97.131599,41.912567,"Indiana"
-99.854473,43.071698,"Indiana"
-99.854473,45.325375,"Indiana"
-97.131599,46.419873,"Indiana"
-108.023093,46.419873,"Iowa"
-105.30022,45.325375,"Iowa"
-105.30022,43.071698,"Iowa"
-108.023093,41.912567,"Iowa"
-110.745967,43.071698,"Iowa"
-110.745967,45.325375,"Iowa"
-108.023093,46.419873,"Iowa"
-108.023093,39.530104,"Kansas"
-105.30022,38.307039,"Kansas"
-105.30022,35.798214,"Kansas"
-108.023093,34.512972,"Kansas"
-110.745967,35.798214,"Kansas"
-110.745967,38.307039,"Kansas"
-108.023093,39.530104,"Kansas"
-99.854473,43.071698,"Kentucky"
-97.131599,41.912567,"Kentucky"
-97.131599,39.530104,"Kentucky"
-99.854473,38.307039,"Kentucky"
-102.577346,39.530104,"Kentucky"
-102.577346,41.912567,"Kentucky"
-99.854473,43.071698,"Kentucky"
-105.30022,35.798214,"Louisiana"
-102.577346,34.512972,"Louisiana"
-102.577346,31.882459,"Louisiana"
-105.30022,30.53798,"Louisiana"
-108.023093,31.882459,"Louisiana"
-108.023093,34.512972,"Louisiana"
-105.30022,35.798214,"Louisiana"
-72.625738,55.313204,"Maine"
-69.902864,54.408434,"Maine"
-69.902864,52.537442,"Maine"
-72.625738,51.57081,"Maine"
-75.348611,52.537442,"Maine"
-75.348611,54.408434,"Maine"
-72.625738,55.313204,"Maine"
-83.517232,43.071698,"Maryland"
-80.794358,41.912567,"Maryland"
-80.794358,39.530104,"Maryland"
-83.517232,38.307039,"Maryland"
-86.240105,39.530104,"Maryland"
-86.240105,41.912567,"Maryland"
-83.517232,43.071698,"Maryland"
-78.071485,49.57439,"Massachusetts"
-75.348611,48.544312,"Massachusetts"
-75.348611,46.419873,"Massachusetts"
-78.071485,45.325375,"Massachusetts"
-80.794358,46.419873,"Massachusetts"
-80.794358,48.544312,"Massachusetts"
-78.071485,49.57439,"Massachusetts"
-94.408726,49.57439,"Michigan"
-91.685852,48.544312,"Michigan"
-91.685852,46.419873,"Michigan"
-94.408726,45.325375,"Michigan"
-97.131599,46.419873,"Michigan"
-97.131599,48.544312,"Michigan"
-94.408726,49.57439,"Michigan"
-110.745967,49.57439,"Minnesota"
-108.023093,48.544312,"Minnesota"
-108.023093,46.419873,"Minnesota"
-110.745967,45.325375,"Minnesota"
-113.46884,46.419873,"Minnesota"
-113.46884,48.544312,"Minnesota"
-110.745967,49.57439,"Minnesota"
-99.854473,35.798214,"Mississippi"
-97.131599,34.512972,"Mississippi"
-97.131599,31.882459,"Mississippi"
-99.854473,30.53798,"Mississippi"
-102.577346,31.882459,"Mississippi"
-102.577346,34.512972,"Mississippi"
-99.854473,35.798214,"Mississippi"
-105.30022,43.071698,"Missouri"
-102.577346,41.912567,"Missouri"
-102.577346,39.530104,"Missouri"
-105.30022,38.307039,"Missouri"
-108.023093,39.530104,"Missouri"
-108.023093,41.912567,"Missouri"
-105.30022,43.071698,"Missouri"
-121.637461,49.57439,"Montana"
-118.914587,48.544312,"Montana"
-118.914587,46.419873,"Montana"
-121.637461,45.325375,"Montana"
-124.360334,46.419873,"Montana"
-124.360334,48.544312,"Montana"
-121.637461,49.57439,"Montana"
-110.745967,43.071698,"Nebraska"
-108.023093,41.912567,"Nebraska"
-108.023093,39.530104,"Nebraska"
-110.745967,38.307039,"Nebraska"
-113.46884,39.530104,"Nebraska"
-113.46884,41.912567,"Nebraska"
-110.745967,43.071698,"Nebraska"
-121.637461,43.071698,"Nevada"
-118.914587,41.912567,"Nevada"
-118.914587,39.530104,"Nevada"
-121.637461,38.307039,"Nevada"
-124.360334,39.530104,"Nevada"
-124.360334,41.912567,"Nevada"
-121.637461,43.071698,"Nevada"
-75.348611,52.537442,"New Hampshire"
-72.625738,51.57081,"New Hampshire"
-72.625738,49.57439,"New Hampshire"
-75.348611,48.544312,"New Hampshire"
-78.071485,49.57439,"New Hampshire"
-78.071485,51.57081,"New Hampshire"
-75.348611,52.537442,"New Hampshire"
-80.794358,46.419873,"New Jersey"
-78.071485,45.325375,"New Jersey"
-78.071485,43.071698,"New Jersey"
-80.794358,41.912567,"New Jersey"
-83.517232,43.071698,"New Jersey"
-83.517232,45.325375,"New Jersey"
-80.794358,46.419873,"New Jersey"
-113.46884,39.530104,"New Mexico"
-110.745967,38.307039,"New Mexico"
-110.745967,35.798214,"New Mexico"
-113.46884,34.512972,"New Mexico"
-116.191714,35.798214,"New Mexico"
-116.191714,38.307039,"New Mexico"
-113.46884,39.530104,"New Mexico"
-83.517232,49.57439,"New York"
-80.794358,48.544312,"New York"
-80.794358,46.419873,"New York"
-83.517232,45.325375,"New York"
-86.240105,46.419873,"New York"
-86.240105,48.544312,"New York"
-83.517232,49.57439,"New York"
-91.685852,39.530104,"North Carolina"
-88.962979,38.307039,"North Carolina"
-88.962979,35.798214,"North Carolina"
-91.685852,34.512972,"North Carolina"
-94.408726,35.798214,"North Carolina"
-94.408726,38.307039,"North Carolina"
-91.685852,39.530104,"North Carolina"
-116.191714,49.57439,"North Dakota"
-113.46884,48.544312,"North Dakota"
-113.46884,46.419873,"North Dakota"
-116.191714,45.325375,"North Dakota"
-118.914587,46.419873,"North Dakota"
-118.914587,48.544312,"North Dakota"
-116.191714,49.57439,"North Dakota"
-91.685852,46.419873,"Ohio"
-88.962979,45.325375,"Ohio"
-88.962979,43.071698,"Ohio"
-91.685852,41.912567,"Ohio"
-94.408726,43.071698,"Ohio"
-94.408726,45.325375,"Ohio"
-91.685852,46.419873,"Ohio"
-110.745967,35.798214,"Oklahoma"
-108.023093,34.512972,"Oklahoma"
-108.023093,31.882459,"Oklahoma"
-110.745967,30.53798,"Oklahoma"
-113.46884,31.882459,"Oklahoma"
-113.46884,34.512972,"Oklahoma"
-110.745967,35.798214,"Oklahoma"
-127.083208,43.071698,"Oregon"
-124.360334,41.912567,"Oregon"
-124.360334,39.530104,"Oregon"
-127.083208,38.307039,"Oregon"
-129.806081,39.530104,"Oregon"
-129.806081,41.912567,"Oregon"
-127.083208,43.071698,"Oregon"
-86.240105,46.419873,"Pennsylvania"
-83.517232,45.325375,"Pennsylvania"
-83.517232,43.071698,"Pennsylvania"
-86.240105,41.912567,"Pennsylvania"
-88.962979,43.071698,"Pennsylvania"
-88.962979,45.325375,"Pennsylvania"
-86.240105,46.419873,"Pennsylvania"
-72.625738,49.57439,"Rhode Island"
-69.902864,48.544312,"Rhode Island"
-69.902864,46.419873,"Rhode Island"
-72.625738,45.325375,"Rhode Island"
-75.348611,46.419873,"Rhode Island"
-75.348611,48.544312,"Rhode Island"
-72.625738,49.57439,"Rhode Island"
-86.240105,39.530104,"South Carolina"
-83.517232,38.307039,"South Carolina"
-83.517232,35.798214,"South Carolina"
-86.240105,34.512972,"South Carolina"
-88.962979,35.798214,"South Carolina"
-88.962979,38.307039,"South Carolina"
-86.240105,39.530104,"South Carolina"
-113.46884,46.419873,"South Dakota"
-110.745967,45.325375,"South Dakota"
-110.745967,43.071698,"South Dakota"
-113.46884,41.912567,"South Dakota"
-116.191714,43.071698,"South Dakota"
-116.191714,45.325375,"South Dakota"
-113.46884,46.419873,"South Dakota"
-97.131599,39.530104,"Tennessee"
-94.408726,38.307039,"Tennessee"
-94.408726,35.798214,"Tennessee"
-97.131599,34.512972,"Tennessee"
-99.854473,35.798214,"Tennessee"
-99.854473,38.307039,"Tennessee"
-97.131599,39.530104,"Tennessee"
-108.023093,31.882459,"Texas"
-105.30022,30.53798,"Texas"
-105.30022,27.792925,"Texas"
-108.023093,26.393432,"Texas"
-110.745967,27.792925,"Texas"
-110.745967,30.53798,"Texas"
-108.023093,31.882459,"Texas"
-118.914587,39.530104,"Utah"
-116.191714,38.307039,"Utah"
-116.191714,35.798214,"Utah"
-118.914587,34.512972,"Utah"
-121.637461,35.798214,"Utah"
-121.637461,38.307039,"Utah"
-118.914587,39.530104,"Utah"
-80.794358,52.537442,"Vermont"
-78.071485,51.57081,"Vermont"
-78.071485,49.57439,"Vermont"
-80.794358,48.544312,"Vermont"
-83.517232,49.57439,"Vermont"
-83.517232,51.57081,"Vermont"
-80.794358,52.537442,"Vermont"
-88.962979,43.071698,"Virginia"
-86.240105,41.912567,"Virginia"
-86.240105,39.530104,"Virginia"
-88.962979,38.307039,"Virginia"
-91.685852,39.530104,"Virginia"
-91.685852,41.912567,"Virginia"
-88.962979,43.071698,"Virginia"
-127.083208,49.57439,"Washington"
-124.360334,48.544312,"Washington"
-124.360334,46.419873,"Washington"
-127.083208,45.325375,"Washington"
-129.806081,46.419873,"Washington"
-129.806081,48.544312,"Washington"
-127.083208,49.57439,"Washington"
-94.408726,43.071698,"West Virginia"
-91.685852,41.912567,"West Virginia"
-91.685852,39.530104,"West Virginia"
-94.408726,38.307039,"West Virginia"
-97.131599,39.530104,"West Virginia"
-97.131599,41.912567,"West Virginia"
-94.408726,43.071698,"West Virginia"
-105.30022,49.57439,"Wisconsin"
-102.577346,48.544312,"Wisconsin"
-102.577346,46.419873,"Wisconsin"
-105.30022,45.325375,"Wisconsin"
-108.023093,46.419873,"Wisconsin"
-108.023093,48.544312,"Wisconsin"
-105.30022,49.57439,"Wisconsin"
-118.914587,46.419873,"Wyoming"
-116.191714,45.325375,"Wyoming"
-116.191714,43.071698,"Wyoming"
-118.914587,41.912567,"Wyoming"
-121.637461,43.071698,"Wyoming"
-121.637461,45.325375,"Wyoming"
-118.914587,46.419873,"Wyoming"
